epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,697.992,1.56837,2.14083,1.72575,0.13329,0.62974,0.11441,0.03439,0.50596,18.5002,0.4858,0.000666344,0.000666344,0.000666344
2,1350.61,1.3912,2.0385,1.63765,0.35549,0.39904,0.26112,0.10678,0.50686,20.6559,0.50188,0.00067317,0.00067317,0.00067317
